	Worst performing gene so far: MIN_GHOST_DISTANCE: 96	 MAX_POWER_PILL_DISTANCE: 65	 POWER_PILL_WALK_AWAY_DISTANCE: 57
	Best performing gene so far: MIN_GHOST_DISTANCE: 4	 MAX_POWER_PILL_DISTANCE: 14	 POWER_PILL_WALK_AWAY_DISTANCE: 67
Generation: 44	 AvgFitness: 1491.78	 MinFitness: 50.0	 MaxFitness: 7520.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 10	 MAX_POWER_PILL_DISTANCE: 69	 POWER_PILL_WALK_AWAY_DISTANCE: 59
	Best performing gene so far: MIN_GHOST_DISTANCE: 4	 MAX_POWER_PILL_DISTANCE: 14	 POWER_PILL_WALK_AWAY_DISTANCE: 67
Generation: 45	 AvgFitness: 1494.72	 MinFitness: 140.0	 MaxFitness: 9780.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 17	 MAX_POWER_PILL_DISTANCE: 15	 POWER_PILL_WALK_AWAY_DISTANCE: 95
	Best performing gene so far: MIN_GHOST_DISTANCE: 4	 MAX_POWER_PILL_DISTANCE: 14	 POWER_PILL_WALK_AWAY_DISTANCE: 67
Generation: 46	 AvgFitness: 1457.06	 MinFitness: 90.0	 MaxFitness: 9980.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 34	 MAX_POWER_PILL_DISTANCE: 51	 POWER_PILL_WALK_AWAY_DISTANCE: 16
	Best performing gene so far: MIN_GHOST_DISTANCE: 41	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 54
Generation: 47	 AvgFitness: 1483.8	 MinFitness: 130.0	 MaxFitness: 7610.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 94	 MAX_POWER_PILL_DISTANCE: 77	 POWER_PILL_WALK_AWAY_DISTANCE: 14
	Best performing gene so far: MIN_GHOST_DISTANCE: 17	 MAX_POWER_PILL_DISTANCE: 13	 POWER_PILL_WALK_AWAY_DISTANCE: 28
Generation: 48	 AvgFitness: 1560.84	 MinFitness: 130.0	 MaxFitness: 8150.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 95	 MAX_POWER_PILL_DISTANCE: 99	 POWER_PILL_WALK_AWAY_DISTANCE: 65
	Best performing gene so far: MIN_GHOST_DISTANCE: 12	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 73
Generation: 49	 AvgFitness: 1560.24	 MinFitness: 130.0	 MaxFitness: 10250.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 95	 MAX_POWER_PILL_DISTANCE: 74	 POWER_PILL_WALK_AWAY_DISTANCE: 16
	Best performing gene so far: MIN_GHOST_DISTANCE: 4	 MAX_POWER_PILL_DISTANCE: 14	 POWER_PILL_WALK_AWAY_DISTANCE: 67
Generation: 50	 AvgFitness: 1464.68	 MinFitness: 20.0	 MaxFitness: 8580.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 8	 MAX_POWER_PILL_DISTANCE: 80	 POWER_PILL_WALK_AWAY_DISTANCE: 26
	Best performing gene so far: MIN_GHOST_DISTANCE: 34	 MAX_POWER_PILL_DISTANCE: 37	 POWER_PILL_WALK_AWAY_DISTANCE: 77
Generation: 51	 AvgFitness: 1535.26	 MinFitness: 140.0	 MaxFitness: 9120.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 74	 MAX_POWER_PILL_DISTANCE: 77	 POWER_PILL_WALK_AWAY_DISTANCE: 42
	Best performing gene so far: MIN_GHOST_DISTANCE: 50	 MAX_POWER_PILL_DISTANCE: 6	 POWER_PILL_WALK_AWAY_DISTANCE: 70
Generation: 52	 AvgFitness: 1542.94	 MinFitness: 80.0	 MaxFitness: 7930.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 30	 MAX_POWER_PILL_DISTANCE: 54	 POWER_PILL_WALK_AWAY_DISTANCE: 51
	Best performing gene so far: MIN_GHOST_DISTANCE: 41	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 54
Generation: 53	 AvgFitness: 1451.38	 MinFitness: 170.0	 MaxFitness: 7550.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 52	 MAX_POWER_PILL_DISTANCE: 89	 POWER_PILL_WALK_AWAY_DISTANCE: 99
	Best performing gene so far: MIN_GHOST_DISTANCE: 48	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 96
Generation: 54	 AvgFitness: 1484.36	 MinFitness: 20.0	 MaxFitness: 7880.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 4	 MAX_POWER_PILL_DISTANCE: 69	 POWER_PILL_WALK_AWAY_DISTANCE: 9
	Best performing gene so far: MIN_GHOST_DISTANCE: 4	 MAX_POWER_PILL_DISTANCE: 14	 POWER_PILL_WALK_AWAY_DISTANCE: 67
Generation: 55	 AvgFitness: 1456.38	 MinFitness: 150.0	 MaxFitness: 7290.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 36	 MAX_POWER_PILL_DISTANCE: 40	 POWER_PILL_WALK_AWAY_DISTANCE: 32
	Best performing gene so far: MIN_GHOST_DISTANCE: 12	 MAX_POWER_PILL_DISTANCE: 36	 POWER_PILL_WALK_AWAY_DISTANCE: 90
Generation: 56	 AvgFitness: 1482.62	 MinFitness: 100.0	 MaxFitness: 7450.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 18	 MAX_POWER_PILL_DISTANCE: 73	 POWER_PILL_WALK_AWAY_DISTANCE: 61
	Best performing gene so far: MIN_GHOST_DISTANCE: 4	 MAX_POWER_PILL_DISTANCE: 14	 POWER_PILL_WALK_AWAY_DISTANCE: 67
Generation: 57	 AvgFitness: 1527.88	 MinFitness: 50.0	 MaxFitness: 9310.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 10	 MAX_POWER_PILL_DISTANCE: 57	 POWER_PILL_WALK_AWAY_DISTANCE: 92
	Best performing gene so far: MIN_GHOST_DISTANCE: 4	 MAX_POWER_PILL_DISTANCE: 14	 POWER_PILL_WALK_AWAY_DISTANCE: 67
Generation: 58	 AvgFitness: 1519.62	 MinFitness: 150.0	 MaxFitness: 7880.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 10	 MAX_POWER_PILL_DISTANCE: 57	 POWER_PILL_WALK_AWAY_DISTANCE: 10
	Best performing gene so far: MIN_GHOST_DISTANCE: 41	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 54
Generation: 59	 AvgFitness: 1427.9	 MinFitness: 140.0	 MaxFitness: 8100.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 18	 MAX_POWER_PILL_DISTANCE: 48	 POWER_PILL_WALK_AWAY_DISTANCE: 63
	Best performing gene so far: MIN_GHOST_DISTANCE: 41	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 54
Generation: 60	 AvgFitness: 1515.04	 MinFitness: 130.0	 MaxFitness: 7260.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 91	 MAX_POWER_PILL_DISTANCE: 73	 POWER_PILL_WALK_AWAY_DISTANCE: 67
	Best performing gene so far: MIN_GHOST_DISTANCE: 18	 MAX_POWER_PILL_DISTANCE: 53	 POWER_PILL_WALK_AWAY_DISTANCE: 52
Generation: 61	 AvgFitness: 1448.06	 MinFitness: 130.0	 MaxFitness: 10760.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 98	 MAX_POWER_PILL_DISTANCE: 82	 POWER_PILL_WALK_AWAY_DISTANCE: 98
	Best performing gene so far: MIN_GHOST_DISTANCE: 5	 MAX_POWER_PILL_DISTANCE: 35	 POWER_PILL_WALK_AWAY_DISTANCE: 9
Generation: 62	 AvgFitness: 1526.72	 MinFitness: 140.0	 MaxFitness: 7870.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 76	 MAX_POWER_PILL_DISTANCE: 75	 POWER_PILL_WALK_AWAY_DISTANCE: 63
	Best performing gene so far: MIN_GHOST_DISTANCE: 41	 MAX_POWER_PILL_DISTANCE: 1	 POWER_PILL_WALK_AWAY_DISTANCE: 54
Generation: 63	 AvgFitness: 1541.4	 MinFitness: 100.0	 MaxFitness: 9800.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 22	 MAX_POWER_PILL_DISTANCE: 53	 POWER_PILL_WALK_AWAY_DISTANCE: 59
	Best performing gene so far: MIN_GHOST_DISTANCE: 5	 MAX_POWER_PILL_DISTANCE: 2	 POWER_PILL_WALK_AWAY_DISTANCE: 69
Generation: 64	 AvgFitness: 1572.88	 MinFitness: 160.0	 MaxFitness: 8490.0
	Worst performing gene so far: MIN_GHOST_DISTANCE: 84	 MAX_POWER_PILL_DISTANCE: 57	 POWER_PILL_WALK_AWAY_DISTANCE: 12
	Best performing gene so far: MIN_GHOST_DISTANCE: 5	 MAX_POWER_PILL_DISTANCE: 35	 POWER_PILL_WALK_AWAY_DISTANCE: 9
Generation: 65	 AvgFitness: 1543.6	 MinFitness: 140.0	 MaxFitness: 7710.0
